Timestamp,Operation,Message
2024-11-29 19:06:12,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:14,Fingerprint Scan,Received data: 
2024-11-29 19:06:14,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:16,Fingerprint Scan,Received data: 
2024-11-29 19:06:16,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:18,Fingerprint Scan,Received data: 
2024-11-29 19:06:18,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:20,Fingerprint Scan,Received data: 
2024-11-29 19:06:20,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:22,Fingerprint Scan,Received data: 
2024-11-29 19:06:22,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:24,Fingerprint Scan,Received data: 
2024-11-29 19:06:24,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:24,Add Fingerprint,Sending add fingerprint command to Arduino.
2024-11-29 19:06:25,Add Fingerprint,Received data: Starting fingerprint enrollment...
2024-11-29 19:06:25,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:06:25,Fingerprint Scan,Received data: Step 1: Place your finger on the scanner.
2024-11-29 19:06:25,Fingerprint Scan,Unexpected data: Step 1: Place your finger on the scanner.. Retrying...
2024-11-29 19:06:26,Add Fingerprint,Received data: Step 1 complete. Remove your finger.
2024-11-29 19:06:26,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:06:28,Fingerprint Scan,Received data: Step 2: Place your finger on the scanner.
2024-11-29 19:06:28,Fingerprint Scan,Unexpected data: Step 2: Place your finger on the scanner.. Retrying...
2024-11-29 19:07:35,Fingerprint Scan,Sending fingerprint scan command to Arduino.
2024-11-29 19:07:35,Fingerprint Scan,Received data: Initializing Fingerprint sensor...
2024-11-29 19:07:35,Fingerprint Scan,Unexpected data: Initializing Fingerprint sensor.... Retrying...
2024-11-29 19:07:35,Fingerprint Scan,Received data: Fingerprint sensor initialized successfully.
2024-11-29 19:07:35,Fingerprint Scan,Unexpected data: Fingerprint sensor initialized successfully.. Retrying...
2024-11-29 19:07:35,Fingerprint Scan,Received data: Template Count: 0
2024-11-29 19:07:35,Fingerprint Scan,Unexpected data: Template Count: 0. Retrying...
2024-11-29 19:07:35,Fingerprint Scan,Received data: Scanning for fingerprints...
2024-11-29 19:07:35,Fingerprint Scan,Unexpected data: Scanning for fingerprints.... Retrying...
2024-11-29 19:07:36,Fingerprint Scan,Received data: Found Finger ID: #1 with Confidence: 102
2024-11-29 19:08:46,Fingerprint Scan,Sending fingerprint scan command to Arduino.
2024-11-29 19:08:46,Fingerprint Scan,Received data: Initializing Fingerprint sensor...
2024-11-29 19:08:46,Fingerprint Scan,Unexpected data: Initializing Fingerprint sensor.... Retrying...
2024-11-29 19:08:46,Fingerprint Scan,Received data: Fingerprint sensor initialized successfully.
2024-11-29 19:08:46,Fingerprint Scan,Unexpected data: Fingerprint sensor initialized successfully.. Retrying...
2024-11-29 19:08:46,Fingerprint Scan,Received data: Template Count: 0
2024-11-29 19:08:46,Fingerprint Scan,Unexpected data: Template Count: 0. Retrying...
2024-11-29 19:08:46,Fingerprint Scan,Received data: Scanning for fingerprints...
2024-11-29 19:08:46,Fingerprint Scan,Unexpected data: Scanning for fingerprints.... Retrying...
2024-11-29 19:08:47,Fingerprint Scan,Received data: Found Finger ID: #1 with Confidence: 73
2024-11-29 19:08:54,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-29 19:09:18,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-11-29 19:09:31,Add Fingerprint,Sending add fingerprint command to Arduino.
2024-11-29 19:09:31,Add Fingerprint,Received data: Starting fingerprint enrollment...
2024-11-29 19:09:31,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:09:31,Add Fingerprint,Received data: Step 1: Place your finger on the scanner.
2024-11-29 19:09:31,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:09:33,Add Fingerprint,Received data: 
2024-11-29 19:09:33,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:09:34,Add Fingerprint,Received data: Step 1 complete. Remove your finger.
2024-11-29 19:09:34,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:09:36,Add Fingerprint,Received data: Step 2: Place your finger on the scanner.
2024-11-29 19:09:36,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:09:37,Add Fingerprint,Received data: Step 2 complete.
2024-11-29 19:09:37,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:09:39,Add Fingerprint,Received data: Fingerprint added successfully! ID: 24
2024-11-29 19:11:28,Fingerprint Scan,Sending fingerprint scan command to Arduino.
2024-11-29 19:11:28,Fingerprint Scan,Received data: Initializing Fingerprint sensor...
2024-11-29 19:11:28,Fingerprint Scan,Unexpected data: Initializing Fingerprint sensor.... Retrying...
2024-11-29 19:11:28,Fingerprint Scan,Received data: Fingerprint sensor initialized successfully.
2024-11-29 19:11:28,Fingerprint Scan,Unexpected data: Fingerprint sensor initialized successfully.. Retrying...
2024-11-29 19:11:28,Fingerprint Scan,Received data: Template Count: 0
2024-11-29 19:11:28,Fingerprint Scan,Unexpected data: Template Count: 0. Retrying...
2024-11-29 19:11:28,Fingerprint Scan,Received data: Scanning for fingerprints...
2024-11-29 19:11:28,Fingerprint Scan,Unexpected data: Scanning for fingerprints.... Retrying...
2024-11-29 19:11:29,Fingerprint Scan,Received data: Found Finger ID: #1 with Confidence: 149
2024-11-29 19:12:04,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-29 19:12:26,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-11-29 19:36:57,Fingerprint Scan,Sending fingerprint scan command to Arduino.
2024-11-29 19:36:57,Fingerprint Scan,Received data: Initializing Fingerprint sensor...
2024-11-29 19:36:57,Fingerprint Scan,Unexpected data: Initializing Fingerprint sensor.... Retrying...
2024-11-29 19:36:57,Fingerprint Scan,Received data: Fingerprint sensor initialized successfully.
2024-11-29 19:36:57,Fingerprint Scan,Unexpected data: Fingerprint sensor initialized successfully.. Retrying...
2024-11-29 19:36:57,Fingerprint Scan,Received data: Template Count: 0
2024-11-29 19:36:57,Fingerprint Scan,Unexpected data: Template Count: 0. Retrying...
2024-11-29 19:36:57,Fingerprint Scan,Received data: Scanning for fingerprints...
2024-11-29 19:36:57,Fingerprint Scan,Unexpected data: Scanning for fingerprints.... Retrying...
2024-11-29 19:36:58,Fingerprint Scan,Received data: Found Finger ID: #1 with Confidence: 239
2024-11-29 19:37:13,Add Fingerprint,Sending add fingerprint command to Arduino.
2024-11-29 19:37:13,Add Fingerprint,Received data: Starting fingerprint enrollment...
2024-11-29 19:37:13,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:37:13,Add Fingerprint,Received data: Step 1: Place your finger on the scanner.
2024-11-29 19:37:13,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:37:14,Add Fingerprint,Received data: Step 1 complete. Remove your finger.
2024-11-29 19:37:14,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:37:16,Add Fingerprint,Received data: Step 2: Place your finger on the scanner.
2024-11-29 19:37:16,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:37:17,Add Fingerprint,Received data: Step 2 complete.
2024-11-29 19:37:17,Add Fingerprint,Waiting for more fingerprint data...
2024-11-29 19:37:19,Add Fingerprint,Received data: Fingerprint added successfully! ID: 25
2024-11-29 19:37:19,Add Fingerprint,Error parsing fingerprint ID from data: Fingerprint added successfully! ID: 25
2024-11-29 19:37:32,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-29 19:49:38,Fingerprint Scan,Sending fingerprint scan command to Arduino.
2024-11-29 19:49:38,Fingerprint Scan,Received data: Initializing Fingerprint sensor...
2024-11-29 19:49:38,Fingerprint Scan,Unexpected data: Initializing Fingerprint sensor.... Retrying...
2024-11-29 19:49:38,Fingerprint Scan,Received data: Fingerprint sensor initialized successfully.
2024-11-29 19:49:38,Fingerprint Scan,Unexpected data: Fingerprint sensor initialized successfully.. Retrying...
2024-11-29 19:49:38,Fingerprint Scan,Received data: Template Count: 0
2024-11-29 19:49:38,Fingerprint Scan,Unexpected data: Template Count: 0. Retrying...
2024-11-29 19:49:38,Fingerprint Scan,Received data: Scanning for fingerprints...
2024-11-29 19:49:38,Fingerprint Scan,Unexpected data: Scanning for fingerprints.... Retrying...
2024-11-29 19:49:38,Fingerprint Scan,Received data: No fingerprint detected. Try again.
2024-11-29 19:49:38,Fingerprint Scan,Unexpected data: No fingerprint detected. Try again.. Retrying...
2024-11-29 19:49:40,Fingerprint Scan,Received data: 
2024-11-29 19:49:40,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:49:42,Fingerprint Scan,Received data: 
2024-11-29 19:49:42,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:49:44,Fingerprint Scan,Received data: 
2024-11-29 19:49:44,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:49:47,Fingerprint Scan,Received data: 
2024-11-29 19:49:47,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:49:49,Fingerprint Scan,Received data: 
2024-11-29 19:49:49,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:49:51,Fingerprint Scan,Received data: 
2024-11-29 19:49:51,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:49:53,Fingerprint Scan,Received data: 
2024-11-29 19:49:53,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:49:55,Fingerprint Scan,Received data: 
2024-11-29 19:49:55,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:50:04,Fingerprint Scan,Sending fingerprint scan command to Arduino.
2024-11-29 19:50:04,Fingerprint Scan,Received data: Initializing Fingerprint sensor...
2024-11-29 19:50:04,Fingerprint Scan,Unexpected data: Initializing Fingerprint sensor.... Retrying...
2024-11-29 19:50:04,Fingerprint Scan,Received data: Fingerprint sensor initialized successfully.
2024-11-29 19:50:04,Fingerprint Scan,Unexpected data: Fingerprint sensor initialized successfully.. Retrying...
2024-11-29 19:50:04,Fingerprint Scan,Received data: Template Count: 0
2024-11-29 19:50:04,Fingerprint Scan,Unexpected data: Template Count: 0. Retrying...
2024-11-29 19:50:04,Fingerprint Scan,Received data: Scanning for fingerprints...
2024-11-29 19:50:04,Fingerprint Scan,Unexpected data: Scanning for fingerprints.... Retrying...
2024-11-29 19:50:05,Fingerprint Scan,Received data: Found Finger ID: #1 with Confidence: 126
2024-11-29 19:54:06,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-29 19:54:18,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-11-29 19:58:14,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-11-29 21:56:58,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-29 21:57:05,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-11-29 22:42:01,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-29 22:42:17,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-11-30 11:14:18,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-30 11:20:04,Encrypt,Error during encryption: object of type 'NoneType' has no len()
2024-11-30 17:20:40,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-30 17:20:47,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-12-04 08:50:29,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-12-04 08:51:03,Decrypt,Error during decryption: Padding is incorrect.
2024-12-04 08:51:22,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-12-04 10:57:22,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-12-04 10:58:46,Decrypt,Error during decryption: Padding is incorrect.
2024-12-04 10:59:53,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-12-04 12:57:36,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-12-04 13:08:40,Encrypt,Encrypted file: /Users/abdullah/University/Year one/History of Engineering and Technology/Lecture 2.pdf -> /Users/abdullah/University/Year one/History of Engineering and Technology/Lecture 2.pdf.enc
2024-12-04 13:19:31,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-12-04 13:19:48,Decrypt,Decrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.pdf
2024-12-04 14:33:34,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-12-06 22:43:48,Encrypt,Encrypted file: /Users/abdullah/University/test/Project-Proposal 5.pdf -> /Users/abdullah/University/test/Project-Proposal 5.pdf.enc
2024-12-06 22:46:40,Decrypt,Decrypted file: /Users/abdullah/University/Project-Proposal 5.pdf -> /Users/abdullah/University/Project-Proposal 5.pdf
2024-12-06 22:47:23,Encrypt,Encrypted file: /Users/abdullah/University/test/Project-Proposal 2.pdf -> /Users/abdullah/University/test/Project-Proposal 2.pdf.enc
2024-12-06 22:49:12,Decrypt,Decrypted file: /Users/abdullah/University/Project-Proposal 2.pdf -> /Users/abdullah/University/Project-Proposal 2.pdf
